,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2022-12-08,-0.04141432822135893,-0.021490094418473493,-0.038627241390482014,-0.03755949524639346,-0.03661001308241019,-0.03758441331439932,-0.0356658637921925,-0.17708851836204886,0.0,-0.047431950475072315,-0.12363446388637556
2022-12-09,-0.0382126332994176,-0.017579865859388644,-0.03535316325695259,-0.03425020859640049,-0.03326585838493168,-0.03461445681357744,-0.03281249570152456,-0.17959008980431612,0.0,-0.04376503997583381,-0.12337466436467404
2022-12-12,-0.06194434005412375,-0.016095688040379086,-0.056629467250926324,-0.05428641585554461,-0.052056775410025735,-0.05602372920117438,-0.05305387072665213,-0.16812197387291972,0.0,-0.07094503269385222,-0.13705446520439413
2022-12-13,-0.054639618655867306,-0.016272717274658177,-0.05003494296979294,-0.04805223834450256,-0.046185513812767365,-0.04941138296348058,-0.046791122691516196,-0.18138565849758403,0.0,-0.06257891404659588,-0.14822902067362587
2022-12-14,-0.04944708160936173,-0.011713996172085683,-0.0448986706759813,-0.04294610939105348,-0.04111031554350786,-0.04462415137937559,-0.04220830464879288,-0.18349156875245953,-0.00583408756752235,-0.05663188627607629,-0.14180801939740473
2022-12-15,-0.05222866559981476,-0.007893055611297273,-0.04704481109979375,-0.044771597391932705,-0.042613641776906186,-0.04706640484369429,-0.044479565048743175,-0.17590568020389474,0.0,-0.05981764250450572,-0.155596872161187
2022-12-16,-0.041846182608862637,-0.006087009648523267,-0.037475990573565876,-0.035616214089640996,-0.03387482415179022,-0.037636579882807,-0.035530115965109244,-0.1817783194162944,-0.005782042666787723,-0.047926554560185464,-0.15920462422698356
2022-12-19,-0.044229267265236794,-2.9030518927775084e-05,-0.03904388312780682,-0.03677330731211026,-0.0346194306949299,-0.039673465405071995,-0.037392735015539524,-0.17248117962403442,-0.018706142121561187,-0.050655908343129386,-0.1601120661448826
2022-12-20,-0.03984708759828237,0.0,-0.034949469111086984,-0.032825357189427806,-0.0308191399783021,-0.03568491022962661,-0.033602455785151975,-0.16915198805342513,-0.020730567398679733,-0.04563698523456494,-0.17022203015655002
2022-12-21,-0.058995886899277816,0.0,-0.0517454044390403,-0.04843029434090884,-0.045225932729994645,-0.052888438843194496,-0.04982680613968471,-0.16675119008250727,-0.023565716362962008,-0.06756816072646854,-0.18642731791977207
