,Baseline,Residual_20,Residual_30,VCP_10,VCP_20,Residual_20_VCP_10,Residual_30_VCP_10,Residual_20_VCP_20
2024-05-31,0.006410224977875467,0.006410224977875467,0.006410224977875467,0.006410224977875467,0.006410224977875467,0.006410224977875467,0.006410224977875467,0.006410224977875467
2024-06-30,0.029239076481937687,0.029239076481937687,0.029239076481937687,0.029239076481937687,0.029239076481937687,0.029239076481937687,0.029239076481937687,0.029239076481937687
2024-07-31,0.024467518153425738,0.024467518153425738,0.024467518153425738,0.024467518153425738,0.024467518153425738,0.024467518153425738,0.024467518153425738,0.024467518153425738
2024-08-31,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421,-0.011161234358007421
2024-09-30,0.001993868456545478,0.001993868456545478,0.001993868456545478,0.001993868456545478,0.001993868456545478,0.001993868456545478,0.001993868456545478,0.001993868456545478
2024-10-31,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776,-0.0031708071261353776
2024-11-30,0.02286690041332462,0.02286690041332462,0.02286690041332462,0.02286690041332462,0.02286690041332462,0.02286690041332462,0.02286690041332462,0.02286690041332462
2024-12-31,0.014165877213140554,0.014165877213140554,0.014165877213140554,0.014165877213140554,0.014165877213140554,0.014165877213140554,0.014165877213140554,0.014165877213140554
2025-01-31,0.013903019994193633,0.013903019994193633,0.013903019994193633,0.013903019994193633,0.013903019994193633,0.013903019994193633,0.013903019994193633,0.013903019994193633
2025-02-28,0.003236176246288691,0.003236176246288691,0.003236176246288691,0.003236176246288691,0.003236176246288691,0.003236176246288691,0.003236176246288691,0.003236176246288691
2025-03-31,0.00860344508970523,0.00860344508970523,0.00860344508970523,0.00860344508970523,0.00860344508970523,0.00860344508970523,0.00860344508970523,0.00860344508970523
2025-04-30,-0.010658774496551282,-0.010658774496551282,-0.010658774496551282,-0.010658774496551282,-0.010658774496551282,-0.010658774496551282,-0.012120647300685516,-0.010658774496551282
2025-05-31,0.00804072342394857,0.00804072342394857,0.00804072342394857,0.00804072342394857,0.00804072342394857,0.00804072342394857,-0.007121955232586408,0.00804072342394857
2025-06-30,0.02593712518686231,0.02593712518686231,0.02593712518686231,0.02593712518686231,0.02593712518686231,0.02593712518686231,0.03036777425958692,0.02593712518686231
2025-07-31,0.026064980748580213,0.026064980748580213,0.026064980748580213,0.026064980748580213,0.026064980748580213,0.026064980748580213,0.026064980748580213,0.026064980748580213
2025-08-31,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588,-0.015313543441792588
2025-09-30,0.01792487628545336,0.01792487628545336,0.01792487628545336,0.01792487628545336,0.01792487628545336,0.01792487628545336,0.01792487628545336,0.01792487628545336
2025-10-31,0.018716862373685084,0.018716862373685084,0.018716862373685084,0.018716862373685084,0.018716862373685084,0.018716862373685084,0.018716862373685084,0.023383203930134044
2025-11-30,0.0094520584607094,0.0094520584607094,0.0094520584607094,0.0094520584607094,0.0094520584607094,0.0094520584607094,0.0094520584607094,-0.006597444221742466
2025-12-31,0.019518044149056557,0.019518044149056557,0.019518044149056557,0.019518044149056557,0.019518044149056557,0.019518044149056557,0.019518044149056557,0.018043049344899753
